Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.47696679379873,2.50897530687424,2.53767882014501,2.5670355232157,2.5946294729443,2.62640667508428,2.66208895773401,2.71111802454994,2.76599442875181,2.8235883784804,2.86785858401781,2.90798641031983,2.95920036968095,3.01057352615753,3.05581479504836,3.10011259648803,3.14493553058884,3.19715601363491,3.24534491589985,3.29365056253104,3.33452695130798,3.33922844714392,..
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,97.0863548230732,97.4587130392632,97.9393722733883,98.4176320891905,99.0301260300533,99.7070891904993,100.201660203587,100.526987396995,100.842171594765,101.106677169171,101.350024236549,101.692232186137,102.156943771207,102.760821619001,103.567086766844,104.734597673291,105.873339796413,106.61131846825,107.131858943286,107.609306834707,108.057004362579,108.528805138148,..
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,97.434779976999,98.1937920681807,98.9124645960929,99.6237235638581,100.475372556609,101.522501814662,102.672531674674,103.853368672016,106.059762547351,108.291290455327,109.542344173442,110.976336228798,112.460790244138,113.923480806688,115.348813858679,116.731076781631,118.033288980283,119.208741622511,120.25759188908,121.280071139933,122.124736829369,122.658802177858,..
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,32.4689310689311,32.9296703296703,33.3668331668332,33.8151848151848,34.2746253746254,34.7456543456543,35.2311688311688,35.7308691308691,36.2432567432567,36.7689310689311,37.2899100899101,37.7572427572428,38.1679320679321,38.5264735264735,38.8742257742258,39.2304695304695,39.558041958042,39.8621378621379,40.1504495504496,40.4152847152847,40.6064935064935,40.7498501498501,..
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,1002.03098591549,1028.53098591549,1053.97746478873,1080.91111111111,1141.71369863014,1218.81216216216,1312.13648648649,1387.376,1460.97763157895,1551.91184210526,1592.70997375328,1580.28292046936,1590.82987012987,1638.53636363636,1700.56290531777,1750.82519280206,1809.57766367137,1867.7358974359,1911.74807197943,1915.62564102564,1882.12611464968,1852.23417721519,..
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,992.49694245986,1011.52711070139,1030.49724206806,1048.65334562495,1066.21898286856,1082.52738726281,1095.71199969271,1107.28995928401,1117.1646155028,1127.04010140585,1139.97955750173,1153.96024429592,1168.40016132749,1183.29983099024,1198.13550741338,1212.49135745563,1227.50686025966,1242.94356610586,1257.46299454559,1271.53892601982,1286.17155258508,1301.03903357148,..
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,615.481395348837,617.155813953488,619.662790697674,622.090697674419,624.43023255814,626.690697674419,628.895348837209,631.26511627907,634.03488372093,636.723255813954,638.862790697674,640.66511627907,642.318604651163,643.872093023256,645.332558139535,646.704651162791,648.020930232558,649.272093023256,650.437209302326,651.581395348837,652.774418604651,653.953488372093,..
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,49.1974779144976,48.9467226045631,48.6397310049352,48.3012483606638,47.9754751867465,47.6446879945571,47.3372826558372,47.1212709646576,46.9585563473992,46.8441433626748,46.7409685463919,46.6297521068454,46.5593029044007,46.5393725235082,46.5506003261518,46.611337189252,46.6499448243246,46.5987595325832,46.5010592176569,46.4107506220284,46.211212927382,45.8368317319537,..
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,338.548546895641,339.71499339498,341.241248348745,342.672820343461,344.159081902246,346.057364597094,348.347357992074,350.914795244386,353.697919418758,356.555250990753,359.827807133421,364.539762219287,366.807529722589,368.540521796565,370.180217965654,372.33143989432,374.221334214003,375.66571994716,377.379590488771,379.424702774108,381.063540290621,382.635237780713,..
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,10.5395002192021,10.8768084173608,11.222577816747,11.5737834283209,11.9302060499781,12.2917580008768,12.6580008768084,13.0281893906182,13.4007452871548,13.7733888645331,14.121262604121,14.4470846120123,14.7768084173608,15.1112669881631,15.446514686541,15.7768960982025,16.1031565103025,16.4266988163086,16.7499342393687,17.0580885576502,17.3135028496274,17.537527400263,..
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,62.0612185172047,63.959214260376,65.9079726853494,67.9248669741043,70.0120078041859,72.2722507981554,74.5178343384179,76.6917435260731,78.9860677545229,81.3454593827598,83.7682688896772,86.2573607662292,88.8087797091167,91.4218694572543,94.1366087264988,96.9562167435261,99.8588595246541,102.844794253281,105.894670095779,108.996488116353,112.12418410784,115.261573252927,..
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1145.05555555556,1157.48148148148,1165.03703703704,1172.68518518519,1180.37037037037,1188.03703703704,1194.87037037037,1201.62962962963,1208.75925925926,1215.48148148148,1206,1195.62962962963,1199.96296296296,1203.72222222222,1206.25925925926,1208.09259259259,1195.44444444444,1182.83333333333,1183.66666666667,1183.53703703704,1183.2037037037,1180.81481481481,..
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,14.7539447236181,15.1566331658291,15.5539698492462,15.9454020100503,17.0525224965239,17.4022876931553,17.6629850198074,17.8821523204869,18.095259333106,18.3035915733137,18.5092216071569,18.7142482356954,18.9192486292206,19.1224125718183,19.3183356507595,19.4998032374006,19.6560664848993,19.8228030620805,19.981541688516,20.1221552176193,20.2544834819088,20.3850550603041,..
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,7.93192652081602,8.0735567248223,8.21617557463307,8.36091387427305,8.50759623373027,8.65631680974799,8.80888304255516,8.9644161358811,9.12082802547771,9.27842425920798,9.43715498938429,9.59683005630943,9.75694359826456,9.91724268439029,10.0775288470414,10.2373165328164,10.3969491368965,10.5562014215822,10.7143958275639,10.8717022062217,11.0183347179913,11.1506249423059,..
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,81.6279296875,81.932265625,82.0001953125,81.71400390625,80.915234375,79.96673828125,79.2594921875,78.278828125,77.019375,75.7373046875,74.4353125,73.1082421875,71.7651171875,70.65544921875,69.747421875,68.834453125,67.9880078125,67.18802734375,66.40876953125,65.63888671875,64.81263671875,63.88560546875,..
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,3.04728000988125,3.10894076544386,3.16752245337286,3.22351560707921,3.28037160552644,3.33987436698251,3.4032149348014,3.4707479752263,3.54193354860339,3.61547297654968,3.6907592680818,3.76552679406419,3.83855627900411,3.91240626047677,3.98845305524677,4.0674942212341,4.1508584334692,4.23806751010181,4.32553244049195,4.41074585781589,4.49314841282445,4.5672948317541,..
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,21.0422079553585,21.3219545257677,21.5929243826976,21.8504688842254,22.1008553338422,22.3491511269254,22.591232259809,22.8255871521654,23.0520566776819,23.2728273276112,23.4924866058716,23.711651396124,23.9261016206955,24.1347676636189,24.3426946665167,24.5495056316357,24.7494751224555,24.9463349501205,25.1451389902538,25.3385176606278,25.5076253807665,25.6428132335663,..
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,134.026666666667,137.713333333333,141.92,146.546666666667,151.433333333333,156.646666666667,162.153333333333,167.94,174.1,180.293333333333,183.706666666667,186.413333333333,189.473333333333,191.046666666667,193.14,195.773333333333,198.26,200.4,202.233333333333,204.066666666667,206.066666666667,207.48,..
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,63.3635673624288,64.658064516129,65.9322580645161,67.1812144212524,68.3986717267552,69.5857685009488,70.7415559772296,71.8686907020873,72.973055028463,74.0628083491461,75.1523719165085,76.1870967741935,77.1601518026565,78.1218216318786,79.0618595825427,79.9690702087287,80.8337760910816,81.6462998102467,82.4049335863378,83.1210626185958,83.8187855787476,84.5110056925996,..
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,73.8513242339329,72.3957516044473,72.0327297794118,71.4841132665257,70.953107760206,70.4986377025037,69.9716652858326,69.4718534204953,68.98592210662,68.5744565217391,68.1245302137067,67.6890935887988,67.2981577008106,66.922577376566,66.5432756079587,66.1200350036846,65.6579034635225,65.1800571112749,64.7110998526161,64.2571941783346,63.8726510685335,63.3543017686072,..
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,43.4316081871345,44.7725292397661,46.1705738304094,47.6264290935673,49.1446527777778,50.7168384502924,52.3254459064327,53.9366739766082,55.5479349415205,57.2003728070175,58.9065972222222,60.6822039473684,62.5501900584795,64.4605555555556,66.4102412280702,68.4138121345029,70.4513815789474,72.4994809941521,74.5348062865497,76.5776279239766,78.6645687134503,80.7773501461988,..
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,245.62535046729,251.780724299065,258.915031152648,267.166900311526,277.277881619938,287.728738317757,298.216121495327,309.369509345794,322.356269470405,339.14976635514,355.397390965732,368.213901869159,381.443886292835,395.232749221184,408.680412772586,417.723831775701,424.584384735202,434.407827102804,447.565109034268,462.415809968847,475.865537383178,488.754400311526,..
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,113.709925558313,115.622332506203,117.427047146402,119.128784119107,120.740198511166,122.289578163772,123.792555831266,125.243920595533,126.634243176179,127.949875930521,129.33300248139,130.898511166253,132.472456575682,133.980148883375,135.502729528536,137.013895781638,138.559305210918,140.187096774194,141.73746898263,143.183622828784,144.575682382134,145.887096774194,..
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,68.65420915477,69.8968502152731,71.1634885565375,72.443405846363,73.738788805801,75.0429583050079,76.3527022433719,77.6953942895989,78.9932472241106,80.193405846363,81.3705642420122,82.5622309086789,83.7675050985724,84.9744108316338,86.1705019261274,87.3415080444142,88.5145252662588,89.6821266711987,90.7842624065262,91.8181849082257,92.8895309313392,93.9781497847269,..
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,31.9256922849104,32.7753866006643,33.6655306636204,34.596953734848,35.5596602568171,36.5449662583825,37.5522688328997,38.6111273296524,39.7221996572952,40.8691882972647,42.0512280256394,43.2588119565907,44.4938418903768,45.763470203719,47.1739227010218,48.6823760868186,50.1610501152927,51.6028452962704,53.0489031329991,54.5415603647056,56.040885532356,57.5376615684035,..
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,3.42261133957721,3.45999560542028,3.49782657917661,3.52949755676983,3.56258260750269,3.5963894177628,3.63290915600646,3.66836147983568,3.70830229800827,3.75088477166589,3.79282222363503,3.83012473244929,3.87193949310642,3.91306695934121,3.9526049038602,3.98221511356196,4.02756394169263,4.07616632034255,4.1341488959455,4.19394931064213,4.23922642012405,4.34950538759999,..
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,165.241666666667,171.058333333333,176.9,182.758333333333,188.691666666667,194.695833333333,200.7375,206.8625,213.0125,219.175,225.308333333333,231.216666666667,236.916666666667,242.55,248.1625,253.795833333333,259.395833333333,264.920833333333,270.35,275.558333333333,280.4625,283.9,..
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,6.03417445182831,6.17158335741115,6.30942887412116,6.46383672027994,6.60557000224726,6.75596969405117,6.89324215865678,7.02361070981412,7.17074865966805,7.32694468522264,7.48028347619506,7.59578477639732,7.66205335644804,7.7087996404379,7.70287007608591,7.73593534302867,7.87212591094417,8.02070852996886,8.17807955311567,8.36194420366625,8.5765514141706,8.7597579376545,..
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,6.55903510165184,6.78113405336722,7.01903510165184,7.30334021601016,7.63461165819568,7.94553049555273,8.2319043837357,8.51551064167726,8.81405972045743,9.12970775095299,9.44625714739517,9.78218710292249,10.1293726175349,10.4961610546379,10.8776413595934,11.2295695679797,11.5887746188056,11.9805304955527,12.3921616899619,12.8072315756036,13.2184728398983,13.643376747141,..
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,733.868686868687,737.59595959596,743.267676767677,749.19696969697,755.242424242424,761.429292929293,767.60101010101,773.863636363636,780.176767676768,786.469696969697,792.590909090909,797.065656565657,801.116161616162,807.040404040404,812.686868686869,819.141414141414,826.873737373737,834.419191919192,844.742424242424,855.606060606061,864.207070707071,872.136363636364,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,20.6471261492444,20.8786952007446,21.1070807981365,21.3294276507265,21.5430754829651,21.7546938127747,21.9688930671444,22.1853773610282,22.4085338626986,22.6398419973855,22.8694420683979,23.0972883480469,23.323503225147,23.5496589252379,23.7879580166018,24.03410209648,24.3215880419404,24.7044875002017,25.1521790588704,25.6068131566631,25.9576117773008,26.2170074724423,..
